,Player,Pred Pts,Pred Rk
12,Houston Texans,73.00181709543382,1
21,New England Patriots,65.96957402774305,2
22,New Orleans Saints,64.91100221574828,3
13,Indianapolis Colts,63.95313062440886,4
18,Los Angeles Rams,62.695090216286076,5
6,Cincinnati Bengals,61.12146534542595,6
28,Seattle Seahawks,60.68382414070104,7
30,Tennessee Titans,60.18272332113169,8
3,Buffalo Bills,59.58252017274035,9
25,Philadelphia Eagles,59.091651029979865,10
9,Denver Broncos,58.87783146549413,11
19,Miami Dolphins,58.16060362522477,12
0,Arizona Cardinals,55.73114898258659,13
31,Washington Commanders,55.28490087645032,14
10,Detroit Lions,54.10104036307259,15
5,Chicago Bears,54.07232595287606,16
26,Pittsburgh Steelers,53.48099712113206,17
27,San Francisco 49ers,53.40696349355704,18
8,Dallas Cowboys,53.04914374163447,19
17,Los Angeles Chargers,52.910320765498426,20
20,Minnesota Vikings,52.325015731270994,21
4,Carolina Panthers,51.98510227000026,22
11,Green Bay Packers,51.455421770218706,23
2,Baltimore Ravens,51.060362872260235,24
15,Kansas City Chiefs,49.65417455268225,25
23,New York Giants,48.99835848635474,26
16,Las Vegas Raiders,48.289204460462074,27
29,Tampa Bay Buccaneers,46.73193288777763,28
7,Cleveland Browns,46.384077012808234,29
1,Atlanta Falcons,44.48885222405774,30
24,New York Jets,40.90879627840294,31
14,Jacksonville Jaguars,39.807711429536916,32
